No.	â∑ìx	é•èÍ	Isd	Vsd	Vbg			
0	0.00E+00	0.00E+00	-2.34E-08	-1.00E+00	-1.50E+01		-2.34E-08	-1.00E+00
1	0.00E+00	0.00E+00	-2.05E-08	-9.00E-01	-1.50E+01		-2.05E-08	-9.00E-01
2	0.00E+00	0.00E+00	-1.89E-08	-8.00E-01	-1.50E+01		-1.89E-08	-8.00E-01
3	0.00E+00	0.00E+00	-1.78E-08	-7.00E-01	-1.50E+01		-1.78E-08	-7.00E-01
4	0.00E+00	0.00E+00	-1.64E-08	-6.00E-01	-1.50E+01		-1.64E-08	-6.00E-01
5	0.00E+00	0.00E+00	-1.54E-08	-5.00E-01	-1.50E+01		-1.54E-08	-5.00E-01
6	0.00E+00	0.00E+00	-1.50E-08	-4.00E-01	-1.50E+01		-1.50E-08	-4.00E-01
7	0.00E+00	0.00E+00	-1.32E-08	-3.00E-01	-1.50E+01		-1.32E-08	-3.00E-01
8	0.00E+00	0.00E+00	-1.14E-08	-2.00E-01	-1.50E+01		-1.14E-08	-2.00E-01
9	0.00E+00	0.00E+00	-1.04E-08	-1.00E-01	-1.50E+01		-1.04E-08	-1.00E-01
10	0.00E+00	0.00E+00	-8.60E-09	0.00E+00	-1.50E+01		-8.60E-09	0.00E+00
11	0.00E+00	0.00E+00	-6.90E-09	1.00E-01	-1.50E+01		-6.90E-09	1.00E-01
12	0.00E+00	0.00E+00	-5.90E-09	2.00E-01	-1.50E+01		-5.90E-09	2.00E-01
13	0.00E+00	0.00E+00	-3.70E-09	3.00E-01	-1.50E+01		-3.70E-09	3.00E-01
14	0.00E+00	0.00E+00	-9.00E-10	4.00E-01	-1.50E+01		-9.00E-10	4.00E-01
15	0.00E+00	0.00E+00	3.80E-09	5.00E-01	-1.50E+01		3.80E-09	5.00E-01
16	0.00E+00	0.00E+00	1.38E-08	6.00E-01	-1.50E+01		1.38E-08	6.00E-01
17	0.00E+00	0.00E+00	3.36E-08	7.00E-01	-1.50E+01		3.36E-08	7.00E-01
18	0.00E+00	0.00E+00	6.19E-08	8.00E-01	-1.50E+01		6.19E-08	8.00E-01
19	0.00E+00	0.00E+00	1.03E-07	9.00E-01	-1.50E+01		1.03E-07	9.00E-01
20	0.00E+00	0.00E+00	1.59E-07	1.00E+00	-1.50E+01		1.59E-07	1.00E+00
