No.	â∑ìx	é•èÍ	Isd	Vsd	Vbg
00000	0.000000E+0	0.000000E+0	-1.880200E-7	-1.000000E+0	-1.500000E+1	
00001	0.000000E+0	0.000000E+0	-2.846000E-7	-9.000000E-1	-1.500000E+1	
00002	0.000000E+0	0.000000E+0	-3.267000E-7	-8.000000E-1	-1.500000E+1	
00003	0.000000E+0	0.000000E+0	-3.481000E-7	-7.000000E-1	-1.500000E+1	
00004	0.000000E+0	0.000000E+0	-3.553000E-7	-6.000000E-1	-1.500000E+1	
00005	0.000000E+0	0.000000E+0	-3.484000E-7	-5.000000E-1	-1.500000E+1	
00006	0.000000E+0	0.000000E+0	-3.252000E-7	-4.000000E-1	-1.500000E+1	
00007	0.000000E+0	0.000000E+0	-2.827000E-7	-3.000000E-1	-1.500000E+1	
00008	0.000000E+0	0.000000E+0	-2.127900E-7	-2.000000E-1	-1.500000E+1	
00009	0.000000E+0	0.000000E+0	-1.190200E-7	-1.000000E-1	-1.500000E+1	
00010	0.000000E+0	0.000000E+0	9.400000E-10	0.000000E+0	-1.500000E+1	
00011	0.000000E+0	0.000000E+0	1.492200E-7	1.000000E-1	-1.500000E+1	
00012	0.000000E+0	0.000000E+0	3.249000E-7	2.000000E-1	-1.500000E+1	
00013	0.000000E+0	0.000000E+0	5.329000E-7	3.000000E-1	-1.500000E+1	
00014	0.000000E+0	0.000000E+0	7.748000E-7	4.000000E-1	-1.500000E+1	
00015	0.000000E+0	0.000000E+0	1.044300E-6	5.000000E-1	-1.500000E+1	
00016	0.000000E+0	0.000000E+0	1.347600E-6	6.000000E-1	-1.500000E+1	
00017	0.000000E+0	0.000000E+0	1.688000E-6	7.000000E-1	-1.500000E+1	
00018	0.000000E+0	0.000000E+0	2.063300E-6	8.000000E-1	-1.500000E+1	
00019	0.000000E+0	0.000000E+0	2.469500E-6	9.000000E-1	-1.500000E+1	
00020	0.000000E+0	0.000000E+0	2.909300E-6	1.000000E+0	-1.500000E+1	
