No.	â∑ìx	é•èÍ	Isd	Vsd	Vbg	
0	0.00E+00	0.00E+00	-7.91E-08	-1.00E+00	-1.50E+01	-7.91E-08
1	0.00E+00	0.00E+00	-1.60E-07	-1.00E+00	-1.35E+01	-1.60E-07
2	0.00E+00	0.00E+00	-5.08E-07	-1.00E+00	-1.20E+01	-5.08E-07
3	0.00E+00	0.00E+00	-1.31E-06	-1.00E+00	-1.05E+01	-1.31E-06
4	0.00E+00	0.00E+00	-4.04E-06	-1.00E+00	-9.00E+00	-4.04E-06
5	0.00E+00	0.00E+00	-4.78E-06	-1.00E+00	-7.50E+00	-4.78E-06
6	0.00E+00	0.00E+00	-4.99E-06	-1.00E+00	-6.00E+00	-4.99E-06
7	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	-4.50E+00	-5.00E-06
8	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	-3.00E+00	-5.00E-06
9	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	-1.50E+00	-5.00E-06
10	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	0.00E+00	-5.00E-06
11	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	1.50E+00	-5.00E-06
12	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	3.00E+00	-5.00E-06
13	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	4.50E+00	-5.00E-06
14	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	6.00E+00	-5.00E-06
15	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	7.50E+00	-5.00E-06
16	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	9.00E+00	-5.00E-06
17	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	1.05E+01	-5.00E-06
18	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	1.20E+01	-5.00E-06
19	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	1.35E+01	-5.00E-06
20	0.00E+00	0.00E+00	-5.00E-06	-1.00E+00	1.50E+01	-5.00E-06
